channel_id,quantity,sdk_source,dimension,unit,frame_or_reference,sign_semantics,timestamp_source,nominal_software_rate_hz,latency_semantics,code_path,formal_research_ready_now,requires_future_validation,future_role,blocker
ROBOT_Q,joint position,RT jointPos_m,6,rad,joint coordinates,SDK joint convention; setup identity pending,host RT receive perf_counter,from configured RT interval; not physical evidence,device/source latency unknown,hardware/windows/rokae_xcore.py -> collection/state.py,False,True,kinematic input and validity,physical identity/rate/accuracy not validated
ROBOT_DQ,joint velocity,host finite difference of RT q,6,rad/s,joint coordinates,inherits q convention,host difference times,state update dependent,differentiation delay/noise unknown,hardware/windows/rokae_xcore.py -> collection/state.py,False,True,candidate model input,not device-measured velocity; derivative policy unvalidated
ROBOT_DDQ,derived joint/TCP acceleration,future numerical derivative; current typed TCP estimate only,6 joints or 3 TCP,rad/s^2 or m/s^2,joint or base TCP,inherits source,host derivative times,not frozen,filter/difference delay unknown,collection/state.py; collection/snapshot.py,False,True,conditional dynamics input,derivative/filter semantics not frozen
TCP_POSE,TCP position and Euler XYZ orientation,RT tcpPoseAbc_m,3+3,"m, rad",documented by project as base-frame TCP; setup validation pending,SDK axis convention,host RT receive perf_counter,configured RT interval; observed rate required,device/source latency unknown,hardware/windows/rokae_xcore.py -> collection/state.py,False,True,"task geometry, tracking and validity",physical frame/registration and timing unvalidated
TCP_VELOCITY,TCP linear/angular velocity,host finite difference of RT pose,3+3,"m/s, rad/s",base expression candidate,inherits pose axes,host difference times,state update dependent,difference delay unknown,hardware/windows/rokae_xcore.py -> collection/state.py,False,True,task tangent diagnostic only until validated,not device velocity; zero-speed tangent unstable
TRACKING_ERROR,q/TCP reference-minus-measured error,derived from command and state ledgers,trajectory dependent,rad and/or m,joint/base,must be explicitly reference-minus-measured,aligned master timebase,not frozen,command-state alignment required,collection/episode_logger.py; future derivation,False,True,"validity/safety diagnostic, not objective",alignment and reviewed bounds absent
CART_FORCE,controller-returned Cartesian force XYZ,forceControl().getEndTorque cart_force,3,N,requested world/flange/tool expression; current request world,not documented/physically verified,host query start/end/midpoint; no device time,"configured query target 50, not observed source cadence",query duration bounded; source/transport latency unknown,hardware/windows/rokae_xcore.py -> hardware/rokae_adapter.py,False,True,primary endpoint source candidate,WRENCH_FRAME_SEMANTICS_NOT_VERIFIED
CART_TORQUE,controller-returned Cartesian torque XYZ,forceControl().getEndTorque cart_torque,3,N*m,requested world/flange/tool; exact moment reference point unresolved,not documented/physically verified,same host query bounds as force,configured target 50; not validated,source/transport latency unknown,hardware/windows/rokae_xcore.py -> hardware/rokae_adapter.py,False,True,secondary diagnostic only,rotation-only is not full moment transform when origin changes
JOINT_TAU_MEASURED,joint measured torque,getEndTorque joint_torque_measured,6,N*m,joint axes,SDK joint convention not physically validated,same host query bounds,configured target 50; not validated,source/transport latency unknown,hardware/windows/rokae_xcore.py -> collection/state.py,False,True,secondary diagnostic/model input candidate,"physical semantics, compensation and timing unvalidated"
JOINT_TAU_EXTERNAL,controller model-derived external joint torque,getEndTorque external_torque_measured,6,N*m,joint axes,SDK joint convention not physically validated,same host query bounds,configured target 50; not validated,source/transport latency unknown,hardware/windows/rokae_xcore.py -> collection/state.py,False,True,secondary diagnostic/model input candidate,controller model/compensation semantics incomplete
TACTILE_RAW,future pressure array,not implemented,sensor dependent,raw counts; calibrated pressure later,sensor grid and strap placement,nonnegative after validated calibration,future host/device timestamp,unknown,unknown,none,False,True,placeholder/secondary diagnostics only,sensor acquisition and validation absent
