case_id,subject_id,scenario_name,trajectory_id,hip_delta,knee_delta,phase_delta,parent_reference_sha256,geometrically_admissible,J_pred,domain_coverage,model_supported,prediction_label,distance_to_supported_region,distance_to_supported_region_definition,can_calculate_equals_can_trust,diagnostic_model_trial_id,diagnostic_model_type,diagnostic_model_status,diagnostic_model_approval_status,diagnostic_model_human_readiness,diagnostic_identification_dataset_sha256,candidate_type,current_best_J_pred,delta_J_pred_vs_current,predicted_improvement_magnitude,framework_id,horizon_steps,calibrated_uncertainty,magnitude_gate_pass,direction_gate_pass,decision_guard_status,research_exploit_eligible,latent_intermediate_trajectory_ids,latent_intermediate_count,intermediate_execution_count,endpoint_execution_count_if_selected,truth_used_for_authorization,coordinate,direction,magnitude_margin,direction_margin,all_latent_nodes_geometry_valid,all_latent_nodes_provenance_valid,all_latent_nodes_model_supported,all_latent_nodes_patient_envelope_valid,endpoint_not_previously_executed,authorization_scope,support_alone_approved_exploit,formal_personalization_approval,adaptive_horizon_steps,adaptive_evaluation_order,direction_consistency_pass,direction_consistency_path_ids,direction_consistency_reason,adaptive_nondecision_path_valid,adaptive_research_exploit_eligible,adaptive_horizon_selected,evaluated_horizon_sequence,adaptive_escalation_stop_reason,iteration,policy_id,selected_for_execution,selection_mode,policy_decision,prospective_stop_reason
baseline__matched_linear,baseline,matched_linear,asym_h+0.000_k+0.000_p+0.00000,0,0,0,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,True,1,78.5536159601,False,UNSUPPORTED_EXTRAPOLATION,5,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,False,2,DIAGNOSTIC_INITIAL_MODEL,DIAGNOSTIC_ONLY,NOT_APPROVED_FOR_PERSONALIZATION,NOT_HUMAN_READY,c3cdea05efe451e354c96074380f4dc299a5d8989b0c95a8ea6c111daac33ef1,CURRENT_OPERATING_ENDPOINT_ORIGIN,1,0,0,H3_ADAPTIVE_HORIZON,1,0.00196762280892,False,False,CURRENT_BEST_NOT_A_CANDIDATE,False,,0,0,0,False,,,,,,,,,,,,,1,1,False,,NOT_A_DIRECT_ENDPOINT,False,False,False,1,NO_CONSISTENT_NONDECISION_VALID_DIRECTION,1,H3_ADAPTIVE_HORIZON,False,,EXPLORE,
baseline__matched_linear,baseline,matched_linear,asym_h-0.250_k+0.000_p+0.00000,-0.25,0,0,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,True,1.0004834627,79.0523690773,False,UNSUPPORTED_EXTRAPOLATION,4.24264068712,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,False,2,DIAGNOSTIC_INITIAL_MODEL,DIAGNOSTIC_ONLY,NOT_APPROVED_FOR_PERSONALIZATION,NOT_HUMAN_READY,c3cdea05efe451e354c96074380f4dc299a5d8989b0c95a8ea6c111daac33ef1,DIRECT_ENDPOINT_CANDIDATE,1,0.000483462696803,-0.000483462696803,H3_ADAPTIVE_HORIZON,1,0.00196762280892,False,False,UNSUPPORTED_PROVENANCE_NOT_EXPLOIT_ELIGIBLE,False,,0,0,1,False,hip,NEGATIVE,-0.0054834626968,-0.00245108550572,True,True,False,True,True,DIRECT_ENDPOINT_CANDIDATE_ONLY,False,False,1,1,False,asym_h+0.000_k+0.000_p+0.00000;asym_h-0.250_k+0.000_p+0.00000,DIRECTION_NOT_STRICTLY_IMPROVING,False,False,False,1,NO_CONSISTENT_NONDECISION_VALID_DIRECTION,1,H3_ADAPTIVE_HORIZON,False,,EXPLORE,
baseline__matched_linear,baseline,matched_linear,asym_h+0.250_k+0.000_p+0.00000,0.25,0,0,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,True,0.99951047583,78.0548628429,False,UNSUPPORTED_EXTRAPOLATION,5.83095189485,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,False,2,DIAGNOSTIC_INITIAL_MODEL,DIAGNOSTIC_ONLY,NOT_APPROVED_FOR_PERSONALIZATION,NOT_HUMAN_READY,c3cdea05efe451e354c96074380f4dc299a5d8989b0c95a8ea6c111daac33ef1,DIRECT_ENDPOINT_CANDIDATE,1,-0.000489524170139,0.000489524170139,H3_ADAPTIVE_HORIZON,1,0.00196762280892,False,False,UNSUPPORTED_PROVENANCE_NOT_EXPLOIT_ELIGIBLE,False,,0,0,1,False,hip,POSITIVE,-0.00451047582986,-0.00147809863878,True,True,False,True,True,DIRECT_ENDPOINT_CANDIDATE_ONLY,False,False,1,1,True,asym_h+0.000_k+0.000_p+0.00000;asym_h+0.250_k+0.000_p+0.00000,STRICTLY_IMPROVING,False,False,False,1,NO_CONSISTENT_NONDECISION_VALID_DIRECTION,1,H3_ADAPTIVE_HORIZON,False,,EXPLORE,
baseline__matched_linear,baseline,matched_linear,asym_h+0.000_k-0.250_p+0.00000,0,-0.25,0,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,True,0.998515437305,78.8029925187,False,UNSUPPORTED_EXTRAPOLATION,4.472135955,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,False,2,DIAGNOSTIC_INITIAL_MODEL,DIAGNOSTIC_ONLY,NOT_APPROVED_FOR_PERSONALIZATION,NOT_HUMAN_READY,c3cdea05efe451e354c96074380f4dc299a5d8989b0c95a8ea6c111daac33ef1,DIRECT_ENDPOINT_CANDIDATE,1,-0.00148456269478,0.00148456269478,H3_ADAPTIVE_HORIZON,1,0.00196762280892,False,False,UNSUPPORTED_PROVENANCE_NOT_EXPLOIT_ELIGIBLE,False,,0,0,1,False,knee,NEGATIVE,-0.00351543730522,-0.000483060114135,True,True,False,True,True,DIRECT_ENDPOINT_CANDIDATE_ONLY,False,False,1,1,True,asym_h+0.000_k+0.000_p+0.00000;asym_h+0.000_k-0.250_p+0.00000,STRICTLY_IMPROVING,False,False,False,1,NO_CONSISTENT_NONDECISION_VALID_DIRECTION,1,H3_ADAPTIVE_HORIZON,False,,EXPLORE,
baseline__matched_linear,baseline,matched_linear,asym_h+0.000_k+0.250_p+0.00000,0,0.25,0,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,True,1.00148867071,78.0548628429,False,UNSUPPORTED_EXTRAPOLATION,5.65685424949,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,False,2,DIAGNOSTIC_INITIAL_MODEL,DIAGNOSTIC_ONLY,NOT_APPROVED_FOR_PERSONALIZATION,NOT_HUMAN_READY,c3cdea05efe451e354c96074380f4dc299a5d8989b0c95a8ea6c111daac33ef1,DIRECT_ENDPOINT_CANDIDATE,1,0.00148867071382,-0.00148867071382,H3_ADAPTIVE_HORIZON,1,0.00196762280892,False,False,UNSUPPORTED_PROVENANCE_NOT_EXPLOIT_ELIGIBLE,False,,0,0,1,False,knee,POSITIVE,-0.00648867071382,-0.00345629352274,True,True,False,True,True,DIRECT_ENDPOINT_CANDIDATE_ONLY,False,False,1,1,False,asym_h+0.000_k+0.000_p+0.00000;asym_h+0.000_k+0.250_p+0.00000,DIRECTION_NOT_STRICTLY_IMPROVING,False,False,False,1,NO_CONSISTENT_NONDECISION_VALID_DIRECTION,1,H3_ADAPTIVE_HORIZON,False,,EXPLORE,
baseline__matched_linear,baseline,matched_linear,asym_h+0.000_k+0.000_p-0.00250,0,0,-0.0025,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,True,1.00002345459,78.5536159601,False,UNSUPPORTED_EXTRAPOLATION,5,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,False,2,DIAGNOSTIC_INITIAL_MODEL,DIAGNOSTIC_ONLY,NOT_APPROVED_FOR_PERSONALIZATION,NOT_HUMAN_READY,c3cdea05efe451e354c96074380f4dc299a5d8989b0c95a8ea6c111daac33ef1,DIRECT_ENDPOINT_CANDIDATE,1,2.34545907414e-05,-2.34545907414e-05,H3_ADAPTIVE_HORIZON,1,0.00196762280892,False,False,UNSUPPORTED_PROVENANCE_NOT_EXPLOIT_ELIGIBLE,False,,0,0,1,False,phase,NEGATIVE,-0.00502345459074,-0.00199107739966,True,True,False,True,True,DIRECT_ENDPOINT_CANDIDATE_ONLY,False,False,1,1,False,asym_h+0.000_k+0.000_p+0.00000;asym_h+0.000_k+0.000_p-0.00250,DIRECTION_NOT_STRICTLY_IMPROVING,False,False,False,1,NO_CONSISTENT_NONDECISION_VALID_DIRECTION,1,H3_ADAPTIVE_HORIZON,False,,EXPLORE,
baseline__matched_linear,baseline,matched_linear,asym_h+0.000_k+0.000_p+0.00250,0,0,0.0025,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,True,0.999976648162,78.5536159601,False,UNSUPPORTED_EXTRAPOLATION,5,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,False,2,DIAGNOSTIC_INITIAL_MODEL,DIAGNOSTIC_ONLY,NOT_APPROVED_FOR_PERSONALIZATION,NOT_HUMAN_READY,c3cdea05efe451e354c96074380f4dc299a5d8989b0c95a8ea6c111daac33ef1,DIRECT_ENDPOINT_CANDIDATE,1,-2.33518376289e-05,2.33518376289e-05,H3_ADAPTIVE_HORIZON,1,0.00196762280892,False,False,UNSUPPORTED_PROVENANCE_NOT_EXPLOIT_ELIGIBLE,False,,0,0,1,False,phase,POSITIVE,-0.00497664816237,-0.00194427097129,True,True,False,True,True,DIRECT_ENDPOINT_CANDIDATE_ONLY,False,False,1,1,True,asym_h+0.000_k+0.000_p+0.00000;asym_h+0.000_k+0.000_p+0.00250,STRICTLY_IMPROVING,False,False,False,1,NO_CONSISTENT_NONDECISION_VALID_DIRECTION,1,H3_ADAPTIVE_HORIZON,False,,EXPLORE,
baseline__matched_linear,baseline,matched_linear,asym_h+0.000_k+0.000_p+0.00000,0,0,0,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,True,1,100,True,SUPPORTED_PREDICTION,0,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,False,3,DIAGNOSTIC_INITIAL_MODEL,DIAGNOSTIC_ONLY,NOT_APPROVED_FOR_PERSONALIZATION,NOT_HUMAN_READY,5301afefd33ddb6a2ab2eab68f61423414c38f2d0ca2a03da89c5421866bc654,CURRENT_OPERATING_ENDPOINT_ORIGIN,1,0,0,H3_ADAPTIVE_HORIZON,1,0.00196762280892,False,False,CURRENT_BEST_NOT_A_CANDIDATE,False,,0,0,0,False,,,,,,,,,,,,,1,1,False,,NOT_A_DIRECT_ENDPOINT,False,False,False,1;2;3;5,FIRST_ELIGIBLE_HORIZON_SELECTED,2,H3_ADAPTIVE_HORIZON,False,,EXPLOIT,
baseline__matched_linear,baseline,matched_linear,asym_h-0.250_k+0.000_p+0.00000,-0.25,0,0,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,True,1.0004834627,100,True,SUPPORTED_PREDICTION,0,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,False,3,DIAGNOSTIC_INITIAL_MODEL,DIAGNOSTIC_ONLY,NOT_APPROVED_FOR_PERSONALIZATION,NOT_HUMAN_READY,5301afefd33ddb6a2ab2eab68f61423414c38f2d0ca2a03da89c5421866bc654,DIRECT_ENDPOINT_CANDIDATE,1,0.000483462696803,-0.000483462696803,H3_ADAPTIVE_HORIZON,1,0.00196762280892,False,False,ENDPOINT_MAGNITUDE_GATE_FAILED,False,,0,0,1,False,hip,NEGATIVE,-0.0054834626968,-0.00245108550572,True,True,True,True,True,DIRECT_ENDPOINT_CANDIDATE_ONLY,False,False,1,1,False,asym_h+0.000_k+0.000_p+0.00000;asym_h-0.250_k+0.000_p+0.00000,DIRECTION_NOT_STRICTLY_IMPROVING,True,False,False,1;2;3;5,FIRST_ELIGIBLE_HORIZON_SELECTED,2,H3_ADAPTIVE_HORIZON,False,,EXPLOIT,
baseline__matched_linear,baseline,matched_linear,asym_h+0.250_k+0.000_p+0.00000,0.25,0,0,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,True,0.99951047583,100,True,SUPPORTED_PREDICTION,0,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,False,3,DIAGNOSTIC_INITIAL_MODEL,DIAGNOSTIC_ONLY,NOT_APPROVED_FOR_PERSONALIZATION,NOT_HUMAN_READY,5301afefd33ddb6a2ab2eab68f61423414c38f2d0ca2a03da89c5421866bc654,DIRECT_ENDPOINT_CANDIDATE,1,-0.000489524170139,0.000489524170139,H3_ADAPTIVE_HORIZON,1,0.00196762280892,False,False,EXECUTED_ENDPOINT_NOT_REELIGIBLE,False,,0,0,1,False,hip,POSITIVE,-0.00451047582986,-0.00147809863878,True,True,True,True,False,DIRECT_ENDPOINT_CANDIDATE_ONLY,False,False,1,1,True,asym_h+0.000_k+0.000_p+0.00000;asym_h+0.250_k+0.000_p+0.00000,STRICTLY_IMPROVING,True,False,False,1;2;3;5,FIRST_ELIGIBLE_HORIZON_SELECTED,2,H3_ADAPTIVE_HORIZON,False,,EXPLOIT,
