case_id,subject_id,scenario_name,iteration,trajectory_id,alpha_hip,alpha_knee,alpha_phase,guard_id,uncertainty_bound_type,uncertainty_bound,delta_J_pred,delta_J_truth_post_decision,model_supported,would_exploit,true_improvement,false_improvement,missed_improvement,counterfactual_status,policy_executed_from_counterfactual,truth_used_to_construct_guard,truth_used_only_for_posthoc_outcome,heldout_final_test_used
baseline__matched_linear,baseline,matched_linear,1,asym_h+1.000_k+0.000_p+0.00000,1,0,0,G0_CURRENT_GLOBAL_MAX,CURRENT_MAX,1.7386980744e-11,-0.00192506038597,-0.00192506038588,False,False,False,False,False,EVALUATED_WITH_FROZEN_CURRENT_GUARD,False,False,True,False
baseline__matched_linear,baseline,matched_linear,1,asym_h+1.000_k+0.000_p+0.00000,1,0,0,G1_LOCAL_PAIRWISE_MAX,LOCAL_MAX,,-0.00192506038597,-0.00192506038588,False,,False,,,NOT_ESTIMABLE_NO_DESIGNATED_VALIDATION_PAIR_ON_FORMAL_LOCAL_ALPHA_SCALE,False,False,True,False
baseline__matched_linear,baseline,matched_linear,1,asym_h+1.000_k+0.000_p+0.00000,1,0,0,G2_LOCAL_PAIRWISE_P95,LOCAL_P95,,-0.00192506038597,-0.00192506038588,False,,False,,,NOT_ESTIMABLE_NO_DESIGNATED_VALIDATION_PAIR_ON_FORMAL_LOCAL_ALPHA_SCALE,False,False,True,False
baseline__matched_linear,baseline,matched_linear,1,asym_h-1.000_k+0.000_p+0.00000,-1,0,0,G0_CURRENT_GLOBAL_MAX,CURRENT_MAX,1.7386980744e-11,0.00196659232957,0.00196659232947,False,False,False,False,False,EVALUATED_WITH_FROZEN_CURRENT_GUARD,False,False,True,False
baseline__matched_linear,baseline,matched_linear,1,asym_h-1.000_k+0.000_p+0.00000,-1,0,0,G1_LOCAL_PAIRWISE_MAX,LOCAL_MAX,,0.00196659232957,0.00196659232947,False,,False,,,NOT_ESTIMABLE_NO_DESIGNATED_VALIDATION_PAIR_ON_FORMAL_LOCAL_ALPHA_SCALE,False,False,True,False
baseline__matched_linear,baseline,matched_linear,1,asym_h-1.000_k+0.000_p+0.00000,-1,0,0,G2_LOCAL_PAIRWISE_P95,LOCAL_P95,,0.00196659232957,0.00196659232947,False,,False,,,NOT_ESTIMABLE_NO_DESIGNATED_VALIDATION_PAIR_ON_FORMAL_LOCAL_ALPHA_SCALE,False,False,True,False
baseline__matched_linear,baseline,matched_linear,1,asym_h+0.000_k+1.000_p+0.00000,0,1,0,G0_CURRENT_GLOBAL_MAX,CURRENT_MAX,1.7386980744e-11,0.00598501751547,0.0059850175154,False,False,False,False,False,EVALUATED_WITH_FROZEN_CURRENT_GUARD,False,False,True,False
baseline__matched_linear,baseline,matched_linear,1,asym_h+0.000_k+1.000_p+0.00000,0,1,0,G1_LOCAL_PAIRWISE_MAX,LOCAL_MAX,,0.00598501751547,0.0059850175154,False,,False,,,NOT_ESTIMABLE_NO_DESIGNATED_VALIDATION_PAIR_ON_FORMAL_LOCAL_ALPHA_SCALE,False,False,True,False
baseline__matched_linear,baseline,matched_linear,1,asym_h+0.000_k+1.000_p+0.00000,0,1,0,G2_LOCAL_PAIRWISE_P95,LOCAL_P95,,0.00598501751547,0.0059850175154,False,,False,,,NOT_ESTIMABLE_NO_DESIGNATED_VALIDATION_PAIR_ON_FORMAL_LOCAL_ALPHA_SCALE,False,False,True,False
baseline__matched_linear,baseline,matched_linear,1,asym_h+0.000_k-1.000_p+0.00000,0,-1,0,G0_CURRENT_GLOBAL_MAX,CURRENT_MAX,1.7386980744e-11,-0.00590799515335,-0.00590799515327,False,False,True,False,True,EVALUATED_WITH_FROZEN_CURRENT_GUARD,False,False,True,False
