pair_id,case_id,subject_id,scenario_name,calibration_category,assignment_id,assignment_stratum_id,within_stratum_assignment_rank,case_assignment_rule,prediction_used_for_assignment,truth_used_for_assignment,error_used_for_assignment,truth_optimum_used_for_assignment,future_prospective_used_for_assignment,heldout_final_test_used_for_assignment,data_role
dlv_pair_000006b9f8a79d69f2a134ae,calibration_subject_005__matched_linear,calibration_subject_005,matched_linear,MATCHED,INDEPENDENT_ONE_STEP_ASSIGNMENT_V1,hip|MINIMUM|0.25|INTERIOR,1,ONE_PAIR_PER_FROZEN_CASE_PER_STRATUM_BY_SHA256_CASE_PERMUTATION,False,False,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dlv_pair_000045af365e954bc2b0f73c,calibration_subject_004__matched_linear,calibration_subject_004,matched_linear,MATCHED,INDEPENDENT_ONE_STEP_ASSIGNMENT_V1,phase|HALF|0.005|INTERIOR,1,ONE_PAIR_PER_FROZEN_CASE_PER_STRATUM_BY_SHA256_CASE_PERMUTATION,False,False,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dlv_pair_0001081c8581c60034d25557,calibration_subject_005__matched_linear,calibration_subject_005,matched_linear,MATCHED,INDEPENDENT_ONE_STEP_ASSIGNMENT_V1,phase|MINIMUM|0.0025|UPPER_EDGE,1,ONE_PAIR_PER_FROZEN_CASE_PER_STRATUM_BY_SHA256_CASE_PERMUTATION,False,False,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dlv_pair_00019cf4a53fbf4be440df91,calibration_subject_005__matched_linear,calibration_subject_005,matched_linear,MATCHED,INDEPENDENT_ONE_STEP_ASSIGNMENT_V1,hip|INITIAL|1.0|INTERIOR,1,ONE_PAIR_PER_FROZEN_CASE_PER_STRATUM_BY_SHA256_CASE_PERMUTATION,False,False,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dlv_pair_0001aa159b8440e38116209e,calibration_subject_001__matched_linear,calibration_subject_001,matched_linear,MATCHED,INDEPENDENT_ONE_STEP_ASSIGNMENT_V1,knee|INITIAL|1.0|INTERIOR,1,ONE_PAIR_PER_FROZEN_CASE_PER_STRATUM_BY_SHA256_CASE_PERMUTATION,False,False,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dlv_pair_0002c2bd3b8c023d56d971c8,calibration_subject_002__matched_linear,calibration_subject_002,matched_linear,MATCHED,INDEPENDENT_ONE_STEP_ASSIGNMENT_V1,hip|MINIMUM|0.25|INTERIOR,2,ONE_PAIR_PER_FROZEN_CASE_PER_STRATUM_BY_SHA256_CASE_PERMUTATION,False,False,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dlv_pair_0002c70b5d52c25bbd3d03aa,calibration_subject_005__matched_linear,calibration_subject_005,matched_linear,MATCHED,INDEPENDENT_ONE_STEP_ASSIGNMENT_V1,hip|MINIMUM|0.25|LOWER_EDGE,1,ONE_PAIR_PER_FROZEN_CASE_PER_STRATUM_BY_SHA256_CASE_PERMUTATION,False,False,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dlv_pair_000453ae3e7fb394f0969b24,calibration_subject_004__matched_linear,calibration_subject_004,matched_linear,MATCHED,INDEPENDENT_ONE_STEP_ASSIGNMENT_V1,knee|HALF|0.5|INTERIOR,1,ONE_PAIR_PER_FROZEN_CASE_PER_STRATUM_BY_SHA256_CASE_PERMUTATION,False,False,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dlv_pair_0004c49febb111b2e9bb07fa,calibration_subject_006__combined_strong,calibration_subject_006,combined_strong,MISMATCH,INDEPENDENT_ONE_STEP_ASSIGNMENT_V1,hip|HALF|0.5|INTERIOR,1,ONE_PAIR_PER_FROZEN_CASE_PER_STRATUM_BY_SHA256_CASE_PERMUTATION,False,False,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dlv_pair_0005c90608d3de5086a94fa7,calibration_subject_005__hip_knee_coupling_strong,calibration_subject_005,hip_knee_coupling_strong,MISMATCH,INDEPENDENT_ONE_STEP_ASSIGNMENT_V1,knee|MINIMUM|0.25|INTERIOR,1,ONE_PAIR_PER_FROZEN_CASE_PER_STRATUM_BY_SHA256_CASE_PERMUTATION,False,False,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dlv_pair_000642d4ed7ec403aa2df7f7,calibration_subject_006__matched_linear,calibration_subject_006,matched_linear,MATCHED,INDEPENDENT_ONE_STEP_ASSIGNMENT_V1,phase|MINIMUM|0.0025|INTERIOR,1,ONE_PAIR_PER_FROZEN_CASE_PER_STRATUM_BY_SHA256_CASE_PERMUTATION,False,False,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dlv_pair_000649940aacd97d9a4a09bb,calibration_subject_003__matched_linear,calibration_subject_003,matched_linear,MATCHED,INDEPENDENT_ONE_STEP_ASSIGNMENT_V1,hip|HALF|0.5|INTERIOR,2,ONE_PAIR_PER_FROZEN_CASE_PER_STRATUM_BY_SHA256_CASE_PERMUTATION,False,False,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dlv_pair_00075f2e6c465570d20dbfa4,calibration_subject_004__nonlinear_stiffness_strong,calibration_subject_004,nonlinear_stiffness_strong,MISMATCH,INDEPENDENT_ONE_STEP_ASSIGNMENT_V1,hip|HALF|0.5|INTERIOR,3,ONE_PAIR_PER_FROZEN_CASE_PER_STRATUM_BY_SHA256_CASE_PERMUTATION,False,False,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dlv_pair_0007d9a4359c85bfa322d8e5,calibration_subject_005__hip_knee_coupling_strong,calibration_subject_005,hip_knee_coupling_strong,MISMATCH,INDEPENDENT_ONE_STEP_ASSIGNMENT_V1,hip|MINIMUM|0.25|INTERIOR,3,ONE_PAIR_PER_FROZEN_CASE_PER_STRATUM_BY_SHA256_CASE_PERMUTATION,False,False,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dlv_pair_000846dbdf42b4d5401683ce,calibration_subject_003__matched_linear,calibration_subject_003,matched_linear,MATCHED,INDEPENDENT_ONE_STEP_ASSIGNMENT_V1,hip|INITIAL|1.0|INTERIOR,2,ONE_PAIR_PER_FROZEN_CASE_PER_STRATUM_BY_SHA256_CASE_PERMUTATION,False,False,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dlv_pair_0008703ccf4ffc243694551c,calibration_subject_002__hip_knee_coupling_strong,calibration_subject_002,hip_knee_coupling_strong,MISMATCH,INDEPENDENT_ONE_STEP_ASSIGNMENT_V1,phase|INITIAL|0.01|INTERIOR,1,ONE_PAIR_PER_FROZEN_CASE_PER_STRATUM_BY_SHA256_CASE_PERMUTATION,False,False,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dlv_pair_0008d1722a8105961d9aa864,calibration_subject_002__hip_knee_coupling_strong,calibration_subject_002,hip_knee_coupling_strong,MISMATCH,INDEPENDENT_ONE_STEP_ASSIGNMENT_V1,hip|MINIMUM|0.25|INTERIOR,4,ONE_PAIR_PER_FROZEN_CASE_PER_STRATUM_BY_SHA256_CASE_PERMUTATION,False,False,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dlv_pair_00097d643d4fd0153d035a32,calibration_subject_003__matched_linear,calibration_subject_003,matched_linear,MATCHED,INDEPENDENT_ONE_STEP_ASSIGNMENT_V1,knee|MINIMUM|0.25|INTERIOR,2,ONE_PAIR_PER_FROZEN_CASE_PER_STRATUM_BY_SHA256_CASE_PERMUTATION,False,False,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
