case_id,policy_id,metric,historical_value,replayed_value,absolute_difference,reproduced
prospective_subject_001__matched_linear,P2_V1_G0_C0_S0,number_of_executed_trials,13,13,0,True
prospective_subject_001__matched_linear,P2_V1_G0_C0_S0,number_of_explore_trials,8,8,0,True
prospective_subject_001__matched_linear,P2_V1_G0_C0_S0,number_of_exploit_trials,5,5,0,True
prospective_subject_001__matched_linear,P2_V1_G0_C0_S0,missed_improvement_rounds,1,1,0,True
prospective_subject_001__matched_linear,P2_V1_G0_C0_S0,premature_conservative_stops,0,0,0,True
prospective_subject_001__matched_linear,P2_V1_G0_C0_S0,number_of_executed_false_improvements,0,0,0,True
prospective_subject_001__matched_linear,P2_V1_G0_C0_S0,final_best_actual_J,0.969202794811,0.969202794811,2.25375273999e-14,True
prospective_subject_001__matched_linear,P2_V1_G0_C0_S0,global_truth_regret,0.00427479418365,0.00427479418365,2.0435042547e-15,True
prospective_subject_001__matched_linear,P2_V1_G0_C0_S0,low_decision_value_exploration_count,7,7,0,True
prospective_subject_001__matched_linear,P2_V1_G0_C0_S0,correct_local_stops,1,1,0,True
prospective_subject_001__matched_linear,P2_V1_G0_C0_S0,final_best_alpha_hip,0,0,0,True
prospective_subject_001__matched_linear,P2_V1_G0_C0_S0,final_best_alpha_knee,-5,-5,0,True
prospective_subject_001__matched_linear,P2_V1_G0_C0_S0,final_best_alpha_phase,0,0,0,True
prospective_subject_001__nonlinear_stiffness_strong,P2_V1_G0_C0_S0,number_of_executed_trials,0,0,0,True
prospective_subject_001__nonlinear_stiffness_strong,P2_V1_G0_C0_S0,number_of_explore_trials,0,0,0,True
prospective_subject_001__nonlinear_stiffness_strong,P2_V1_G0_C0_S0,number_of_exploit_trials,0,0,0,True
prospective_subject_001__nonlinear_stiffness_strong,P2_V1_G0_C0_S0,missed_improvement_rounds,1,1,0,True
prospective_subject_001__nonlinear_stiffness_strong,P2_V1_G0_C0_S0,premature_conservative_stops,1,1,0,True
prospective_subject_001__nonlinear_stiffness_strong,P2_V1_G0_C0_S0,number_of_executed_false_improvements,0,0,0,True
prospective_subject_001__nonlinear_stiffness_strong,P2_V1_G0_C0_S0,final_best_actual_J,1,1,0,True
prospective_subject_001__nonlinear_stiffness_strong,P2_V1_G0_C0_S0,global_truth_regret,0.0609777702223,0.0609777702223,4.76285677564e-14,True
prospective_subject_001__nonlinear_stiffness_strong,P2_V1_G0_C0_S0,low_decision_value_exploration_count,0,0,0,True
prospective_subject_001__nonlinear_stiffness_strong,P2_V1_G0_C0_S0,correct_local_stops,0,0,0,True
prospective_subject_001__nonlinear_stiffness_strong,P2_V1_G0_C0_S0,final_best_alpha_hip,0,0,0,True
prospective_subject_001__nonlinear_stiffness_strong,P2_V1_G0_C0_S0,final_best_alpha_knee,0,0,0,True
